127.0.0.1 - - [20/Jan/2015:20:19:58 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:03 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:04 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:04 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:04 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:04 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:13 +0530] "GET /RIF/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:13 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:13 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:13 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:13 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2015:20:20:15 +0530] "GET /favicon.ico HTTP/1.1" 404 988
