127.0.0.1 - - [15/Apr/2015:17:54:35 +0530] "GET / HTTP/1.1" 404 955
10.222.4.22 - - [15/Apr/2015:17:54:35 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.22 - - [15/Apr/2015:17:54:36 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.4.22 - - [15/Apr/2015:17:54:36 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.4.22 - - [15/Apr/2015:17:54:37 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.4.22 - - [15/Apr/2015:17:54:39 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.4.22 - - [15/Apr/2015:17:54:39 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [15/Apr/2015:17:54:42 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [15/Apr/2015:17:54:42 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [15/Apr/2015:17:54:42 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [15/Apr/2015:17:54:42 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [15/Apr/2015:17:54:42 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.237.213.108 - - [15/Apr/2015:17:59:07 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.213.108 - - [15/Apr/2015:17:59:07 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.237.213.108 - - [15/Apr/2015:17:59:07 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.237.213.108 - - [15/Apr/2015:17:59:07 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.237.213.108 - - [15/Apr/2015:17:59:07 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.237.213.108 - - [15/Apr/2015:17:59:09 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.226.80.141 - - [15/Apr/2015:18:48:58 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.226.80.141 - - [15/Apr/2015:18:48:58 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.226.80.141 - - [15/Apr/2015:18:48:58 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.226.80.141 - - [15/Apr/2015:18:48:58 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.226.80.141 - - [15/Apr/2015:18:48:58 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.226.80.141 - - [15/Apr/2015:18:49:00 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.237.213.107 - - [15/Apr/2015:19:19:33 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.213.107 - - [15/Apr/2015:19:19:34 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.237.213.107 - - [15/Apr/2015:19:19:34 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.237.213.107 - - [15/Apr/2015:19:19:34 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.237.213.107 - - [15/Apr/2015:19:19:34 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.237.213.107 - - [15/Apr/2015:19:19:36 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.237.213.107 - - [15/Apr/2015:19:19:57 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.237.125.77 - - [15/Apr/2015:19:20:48 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.125.77 - - [15/Apr/2015:19:20:53 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.237.125.77 - - [15/Apr/2015:19:20:53 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.237.125.77 - - [15/Apr/2015:19:20:53 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.237.125.77 - - [15/Apr/2015:19:20:53 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.237.125.77 - - [15/Apr/2015:19:21:04 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.125.77 - - [15/Apr/2015:19:21:18 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.125.77 - - [15/Apr/2015:19:22:33 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.125.77 - - [15/Apr/2015:19:23:13 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.237.213.18 - - [15/Apr/2015:19:23:25 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.213.18 - - [15/Apr/2015:19:23:36 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.237.125.77 - - [15/Apr/2015:19:24:06 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.237.213.107 - - [15/Apr/2015:19:24:48 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 249
10.237.213.107 - - [15/Apr/2015:19:24:55 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.237.213.107 - - [15/Apr/2015:19:24:55 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.237.213.107 - - [15/Apr/2015:19:24:55 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.237.213.107 - - [15/Apr/2015:19:24:55 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.237.213.107 - - [15/Apr/2015:19:25:04 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 251
10.237.213.97 - - [15/Apr/2015:19:25:47 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 251
10.237.213.97 - - [15/Apr/2015:19:25:53 +0530] "GET /RIF/RULE_EXTRACTION/396662///PGM9014_0004_01_2.java HTTP/1.1" 200 2953
10.237.213.97 - - [15/Apr/2015:19:25:54 +0530] "GET /RIF/RULE_EXTRACTION/396662/ICDSurgicalProcedureCodeControllerBean.java HTTP/1.1" 200 140228
10.237.213.97 - - [15/Apr/2015:19:25:55 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestPGM9014_0004_01.java HTTP/1.1" 200 2760
10.237.213.108 - - [15/Apr/2015:19:52:14 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 225
10.237.213.108 - - [15/Apr/2015:19:52:23 +0530] "GET /RIF/RULE_EXTRACTION/396662///TPL0748_0000_01.java HTTP/1.1" 200 2283
10.237.213.108 - - [15/Apr/2015:19:52:25 +0530] "GET /RIF/RULE_EXTRACTION/396662/TPLHIPPManager.java HTTP/1.1" 200 167807
10.237.213.108 - - [15/Apr/2015:19:52:25 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestTPL0748_0000_01.java HTTP/1.1" 200 2589
