127.0.0.1 - - [06/May/2015:12:57:18 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/May/2015:12:57:19 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [06/May/2015:12:57:19 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [06/May/2015:12:57:19 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [06/May/2015:12:57:19 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
0:0:0:0:0:0:0:1 - - [06/May/2015:12:57:19 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [06/May/2015:13:07:50 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [06/May/2015:13:07:50 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [06/May/2015:13:07:50 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [06/May/2015:13:07:50 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
0:0:0:0:0:0:0:1 - - [06/May/2015:13:07:50 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [06/May/2015:13:07:57 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.22 - - [06/May/2015:13:08:18 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.22 - - [06/May/2015:13:08:18 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.22 - - [06/May/2015:13:08:18 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.22 - - [06/May/2015:13:08:18 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.22 - - [06/May/2015:13:08:18 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.22 - - [06/May/2015:13:08:18 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.90 - - [06/May/2015:13:08:54 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.90 - - [06/May/2015:13:08:54 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.4.90 - - [06/May/2015:13:08:54 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.4.90 - - [06/May/2015:13:08:54 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.4.90 - - [06/May/2015:13:08:54 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.4.90 - - [06/May/2015:13:09:04 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.90 - - [06/May/2015:13:09:22 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:13:09:22 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:13:09:22 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:13:09:22 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:13:09:22 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:13:09:35 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:18:10 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.115 - - [06/May/2015:13:18:11 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.4.115 - - [06/May/2015:13:18:11 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.4.115 - - [06/May/2015:13:18:11 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.4.115 - - [06/May/2015:13:18:13 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.4.115 - - [06/May/2015:13:18:41 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.90 - - [06/May/2015:13:18:51 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:13:19:01 +0530] "null null null" 400 -
10.222.4.90 - - [06/May/2015:13:28:33 +0530] "null null null" 400 -
10.222.4.90 - - [06/May/2015:13:28:33 +0530] "null null null" 400 -
10.222.4.90 - - [06/May/2015:13:28:39 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.90 - - [06/May/2015:13:28:51 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 231
10.222.4.90 - - [06/May/2015:13:28:53 +0530] "GET /RIF/RULE_EXTRACTION/396662///CLM4002_0043_01.java HTTP/1.1" 200 3152
10.222.4.90 - - [06/May/2015:13:28:54 +0530] "GET /RIF/RULE_EXTRACTION/396662/ClaimTPLEditsManager.java HTTP/1.1" 200 178791
10.222.4.90 - - [06/May/2015:13:28:54 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestCLM4002_0043_01.java HTTP/1.1" 200 2979
10.222.4.90 - - [06/May/2015:13:33:50 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 242
10.222.4.90 - - [06/May/2015:13:33:54 +0530] "GET /RIF/RULE_EXTRACTION/396662///CLM5002_0077_01.java HTTP/1.1" 200 2441
10.222.4.90 - - [06/May/2015:13:33:56 +0530] "GET /RIF/RULE_EXTRACTION/396662/ProfessionalClaimPricingManager.java HTTP/1.1" 200 136070
10.222.4.90 - - [06/May/2015:13:33:56 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestCLM5002_0077_01.java HTTP/1.1" 200 2591
10.222.4.115 - - [06/May/2015:13:51:03 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.115 - - [06/May/2015:13:51:18 +0530] "POST /RIF/processInput HTTP/1.1" 0 -
10.222.4.115 - - [06/May/2015:13:52:10 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.115 - - [06/May/2015:13:52:10 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:52:10 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:52:10 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:52:10 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:52:10 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.115 - - [06/May/2015:13:52:32 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.115 - - [06/May/2015:13:52:57 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:53:06 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.115 - - [06/May/2015:13:53:54 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:53:54 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:53:54 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:53:54 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:53:54 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:54:38 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.115 - - [06/May/2015:13:55:57 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:13:56:05 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.115 - - [06/May/2015:14:06:42 +0530] "GET /RIF HTTP/1.1" 302 -
10.222.4.115 - - [06/May/2015:14:08:41 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.115 - - [06/May/2015:14:08:41 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.4.115 - - [06/May/2015:14:08:41 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.4.115 - - [06/May/2015:14:08:41 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.4.115 - - [06/May/2015:14:08:44 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.4.115 - - [06/May/2015:14:08:59 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.115 - - [06/May/2015:14:09:29 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.115 - - [06/May/2015:14:09:49 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.115 - - [06/May/2015:14:09:57 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.115 - - [06/May/2015:14:10:18 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [06/May/2015:14:42:12 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [06/May/2015:14:42:17 +0530] "GET /RIF/RULE_EXTRACTION/396662///CLM5002_0077_01.java HTTP/1.1" 200 2441
10.222.4.90 - - [06/May/2015:14:42:17 +0530] "GET /RIF/RULE_EXTRACTION/396662/ProfessionalClaimPricingManager.java HTTP/1.1" 200 136070
10.222.4.90 - - [06/May/2015:14:42:17 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestCLM5002_0077_01.java HTTP/1.1" 200 2591
10.222.4.90 - - [06/May/2015:14:42:26 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:14:42:26 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:14:42:26 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:14:42:26 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:14:42:26 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:14:42:35 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [06/May/2015:14:42:45 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
