127.0.0.1 - - [06/Jul/2015:14:55:41 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Jul/2015:14:55:43 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [06/Jul/2015:14:55:44 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [06/Jul/2015:14:55:44 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
0:0:0:0:0:0:0:1 - - [06/Jul/2015:14:55:44 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [06/Jul/2015:14:55:44 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:06:50 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:06:50 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:06:50 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:06:50 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:06:50 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:06:55 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:09:55 +0530] "GET /RIF/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:09:55 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:10:19 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:10:19 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:10:21 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:16:08 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:16:16 +0530] "GET /RIF/RULE_EXTRACTION/396662///TPLRuleSample.java HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:16:52 +0530] "GET /RIF/RULE_EXTRACTION/396662/TPLHIPPControllerBean.java HTTP/1.1" 200 442358
0:0:0:0:0:0:0:1 - - [06/Jul/2015:15:18:25 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestTPLRuleSample.java HTTP/1.1" 200 2677
